real,imag
0.471819,-0.881695
0.832533,-0.553975
0.995598,-0.0937227
0.920917,0.389758
0.625084,0.780557
0.178136,0.984006
-0.31268,0.949858
-0.728464,0.685084
-0.967488,0.252918
-0.97031,-0.241864
-0.734934,-0.678139
-0.318048,-0.948075
0.178231,-0.983989
0.631127,-0.77568
0.927542,-0.373719
0.99248,0.122411
0.808374,0.588669
0.420261,0.907403
-0.0748075,0.997198
-0.551738,0.834018
-0.888917,0.458069
-0.999364,-0.0356575
-0.853511,-0.521075
-0.48755,-0.873095
0.00508129,-0.999987
0.49723,-0.867619
0.860721,-0.509078
0.999858,-0.016873
0.876947,0.480587
0.522956,0.85236
0.0301957,0.999544
-0.471397,0.881921
-0.848374,0.529397
-0.999391,0.034891
-0.882778,-0.469789
-0.528502,-0.848932
-0.0309623,-0.999521
0.475788,-0.87956
0.85401,-0.520257
0.999831,-0.0184067
0.872112,0.489307
0.504532,0.863393
-0.00278034,0.999996
-0.51015,0.860085
-0.87667,0.481091
-0.999469,-0.0325913
-0.84295,-0.537991
-0.449611,-0.893224
0.0709827,-0.997478
0.572354,-0.820007
0.912217,-0.409707
0.993032,0.117842
0.790406,0.612583
0.360968,0.932578
-0.172945,0.984931
-0.657807,0.753187
-0.952987,0.303011
-0.971776,-0.235906
-0.70731,-0.706903
-0.235533,-0.971866
0.306116,-0.951994
0.75846,-0.65172
0.987377,-0.158385
0.92388,0.382683
0.585409,0.810738
0.0716521,0.99743
-0.464364,0.885644
-0.861646,0.507509
-0.999706,-0.0242537
-0.835496,-0.549497
-0.417388,-0.908728
0.128498,-0.99171
0.635948,-0.771732
0.949167,-0.314774
0.970841,0.239724
0.692866,0.721066
0.199884,0.97982
-0.355956,0.934503
-0.801663,0.597776
-0.99729,0.0735646
-0.880244,-0.474522
-0.485875,-0.874028
0.0625647,-0.998041
0.591997,-0.80594
0.93399,-0.3573
0.978555,0.205986
0.710016,0.704186
0.21311,0.977028
-0.353177,0.935556
-0.806167,0.591688
-0.99846,0.0554824
-0.866281,-0.499557
-0.451238,-0.892404
0.112128,-0.993694
0.639493,-0.768797
0.95694,-0.290285
0.958567,0.284867
0.642363,0.7664
0.112033,0.993705
-0.456449,0.88975
-0.872955,0.487801
-0.996911,-0.0785356
-0.78521,-0.619229
-0.30785,-0.951435
0.274558,-0.961571
0.764426,-0.644711
0.99421,-0.107458
0.884081,0.467333
0.470297,0.882508
-0.106028,0.994363
-0.646542,0.762879
-0.963776,0.266713
-0.946446,-0.322861
-0.599082,-0.800687
-0.041693,-0.99913
0.531104,-0.847307
0.917787,-0.397074
0.981009,0.193962
0.696934,0.717135
0.164913,0.986308
-0.426601,0.90444
-0.866472,0.499225
-0.996337,-0.0855107
-0.768122,-0.640303
-0.262552,-0.964918
0.338695,-0.940896
0.817861,-0.575416
1,-2.15587e-14
0.817309,0.5762
0.335084,0.942188
-0.270868,0.962616
-0.777853,0.628446
-0.9981,0.0616078
-0.848729,-0.528828
-0.383658,-0.923475
0.225084,-0.974339
0.750469,-0.660906
0.995071,-0.099162
0.865658,0.500636
0.409444,0.912335
-0.202325,0.979318
-0.738112,0.674679
-0.993618,0.112795
-0.870087,-0.492898
-0.413202,-0.910639
0.202983,-0.979182
0.741788,-0.670635
0.994723,-0.102596
0.86257,0.505939
0.395049,0.91866
-0.227045,0.973884
-0.761202,0.648514
-0.997651,0.0684961
-0.842176,-0.539203
-0.354432,-0.935082
0.274097,-0.961702
0.794733,-0.60696
0.999946,-0.0103542
0.806564,0.591146
0.290285,0.95694
-0.343111,0.939295
-0.839269,0.543717
-0.997423,-0.0717478
-0.752177,-0.658961
-0.201386,-0.979512
0.432057,-0.901847
0.889968,-0.456022
0.98421,0.177004
0.674608,0.738176
0.0869435,0.996213
-0.537345,0.843363
-0.939984,0.341219
-0.952929,-0.303194
-0.569205,-0.822195
0.0526104,-0.998615
0.653173,-0.757209
0.980277,-0.197629
0.895113,0.445839
0.43197,0.901888
-0.214609,0.9767
-0.770877,0.636984
-0.99967,0.0256914
-0.802007,-0.597315
-0.260794,-0.965394
0.393023,-0.919529
0.878463,-0.47781
0.985327,0.170678
0.665856,0.74608
0.057014,0.998373
-0.577375,0.816479
-0.960564,0.278059
-0.92388,-0.382683
-0.481764,-0.876301
0.172851,-0.984948
0.751987,-0.659178
0.999142,-0.0414056
0.803379,0.595468
0.250042,0.968235
-0.415471,0.909607
-0.895966,0.444122
-0.975259,-0.221065
-0.616138,-0.787638
0.0211865,-0.999776
0.649681,-0.760207
0.98443,-0.175777
0.872159,0.489223
0.362309,0.932058
-0.313682,0.949528
-0.846746,0.531997
-0.991462,-0.130399
-0.679687,-0.733502
-0.0536635,-0.998559
0.59793,-0.801548
0.972673,-0.232177
0.89507,0.445925
0.399624,0.916679
-0.283396,0.959003
-0.834229,0.551418
-0.993245,-0.116033
-0.683965,-0.729514
-0.050887,-0.998704
0.607036,-0.794674
0.97713,-0.212642
0.881921,0.471397
0.365167,0.930942
-0.327123,0.944982
-0.863054,0.505111
-0.983937,-0.178514
-0.629862,-0.776707
0.0295248,-0.999564
0.675315,-0.737529
0.993212,-0.116319
0.826915,0.562328
0.255978,0.966683
-0.441113,0.897451
-0.922109,0.386931
-0.949136,-0.314865
-0.507179,-0.861841
0.186526,-0.98245
0.788346,-0.615232
0.998274,0.0587368
0.710083,0.704118
0.0662003,0.997806
-0.611597,0.791169
-0.982486,0.186338
-0.85832,-0.513116
-0.300086,-0.953912
0.410843,-0.911706
0.913782,-0.406205
0.951789,0.306755
0.503787,0.863828
-0.202607,0.97926
-0.80577,0.592228
-0.994995,-0.0999252
-0.671204,-0.741273
-3.38083e-14,-1
0.671914,-0.740629
0.995371,-0.0961087
0.80063,0.599159
0.187562,0.982253
-0.524345,0.851506
-0.961807,0.273728
-0.893698,-0.448669
-0.354164,-0.935184
0.373186,-0.927757
0.903497,-0.428595
0.954314,0.298805
0.496897,0.867809
-0.226298,0.974058
-0.829119,0.559073
-0.987709,-0.156302
-0.615232,-0.788346
0.089331,-0.996002
0.746335,-0.66557
0.999667,0.0257872
0.710353,0.703845
0.0340286,0.999421
-0.661553,0.749898
-0.99595,0.0899039
-0.784557,-0.620057
-0.141702,-0.989909
0.579877,-0.814704
